Hour,Production_MW,Discharge_m3s,Volume_Mm3
1,0.0,0.0,3.18
2,0.0,0.0,3.3600000000000003
3,36.24000000000086,15.322171486555408,3.484840182648401
4,86.5,36.57196008794182,3.5331811263318107
5,86.5,36.57196008794182,3.5815220700152204
6,86.5,36.57196008794182,3.62986301369863
7,86.5,36.57196008794182,3.6782039573820398
8,86.5,36.57196008794182,3.7265449010654494
9,86.5,36.57196008794182,3.774885844748859
10,86.5,36.57196008794182,3.823226788432269
11,86.5,36.57196008794182,3.8715677321156785
12,86.5,36.57196008794182,3.919908675799088
13,86.5,36.57196008794182,3.968249619482498
14,86.5,36.57196008794182,4.016590563165908
15,86.5,36.57196008794182,4.064931506849317
16,86.5,36.57196008794182,4.113272450532726
17,86.5,36.57196008794182,4.161613394216135
18,86.5,36.57196008794182,4.2099543378995445
19,86.5,36.57196008794182,4.258295281582954
20,86.5,36.57196008794182,4.306636225266363
21,86.5,36.57196008794182,4.354977168949772
22,86.5,36.57196008794182,4.4033181126331815
23,86.5,36.57196008794182,4.451659056316591
24,86.5,36.57196008794182,4.5
25,70.95599999999979,29.999999999999904,4.5
26,70.95599999999979,29.999999999999904,4.5
27,70.95599999999979,29.999999999999904,4.5
28,70.95599999999979,29.999999999999904,4.5
29,70.95599999999979,29.999999999999904,4.5
30,70.95599999999979,29.999999999999904,4.5
31,86.5,36.57196008794182,4.476340943683409
32,86.5,36.57196008794182,4.452681887366818
33,86.5,36.57196008794182,4.4290228310502275
34,86.5,36.57196008794182,4.405363774733637
35,86.5,36.57196008794182,4.381704718417046
36,86.5,36.57196008794182,4.358045662100455
37,86.5,36.57196008794182,4.334386605783864
38,86.5,36.57196008794182,4.310727549467273
39,86.5,36.57196008794182,4.287068493150683
40,86.5,36.57196008794182,4.263409436834092
41,86.5,36.57196008794182,4.239750380517501
42,86.5,36.57196008794182,4.21609132420091
43,86.5,36.57196008794182,4.192432267884319
44,86.5,36.57196008794182,4.1687732115677285
45,86.5,36.57196008794182,4.145114155251138
46,86.5,36.57196008794182,4.121455098934547
47,86.5,36.57196008794182,4.097796042617956
48,86.5,36.57196008794182,4.074136986301365
