Hour,Production_MW,Discharge_m3s,Volume_Mm3
1,57.8320000000038,24.4512092000693,3.09197564687975
2,86.5,36.5719600879418,3.14031659056316
3,86.5,36.5719600879419,3.18865753424657
4,86.5,36.5719600879419,3.23699847792998
5,86.5,36.5719600879419,3.28533942161339
6,86.5,36.5719600879419,3.3336803652968
7,86.5,36.5719600879419,3.38202130898021
8,86.5,36.5719600879419,3.43036225266362
9,86.5,36.5719600879419,3.47870319634703
10,86.5,36.5719600879419,3.52704414003043
11,86.5,36.5719600879419,3.57538508371384
12,86.5,36.5719600879419,3.62372602739725
13,86.5,36.5719600879419,3.67206697108066
14,86.5,36.5719600879419,3.72040791476407
15,86.5,36.5719600879419,3.76874885844748
16,86.5,36.5719600879419,3.81708980213089
17,86.5,36.5719600879419,3.8654307458143
18,86.5,36.5719600879418,3.91377168949771
19,86.5,36.5719600879418,3.96211263318112
20,86.5,36.5719600879418,4.01045357686453
21,86.5,36.5719600879418,4.05879452054794
22,86.5,36.5719600879418,4.10713546423135
23,86.5,36.5719600879418,4.15547640791475
24,86.5,36.5719600879418,4.20381735159816
25,86.5,36.5719600879418,4.21615829528158
26,86.5,36.5719600879418,4.22849923896499
27,86.5,36.5719600879418,4.2408401826484
28,86.5,36.5719600879418,4.25318112633181
29,86.5,36.5719600879418,4.26552207001522
30,86.5,36.5719600879418,4.27786301369863
31,86.5,36.5719600879418,4.29020395738204
32,86.5,36.5719600879418,4.30254490106545
33,86.5,36.5719600879418,4.31488584474886
34,86.5,36.5719600879418,4.32722678843226
35,86.5,36.5719600879418,4.33956773211567
36,86.5,36.5719600879418,4.35190867579908
37,86.5,36.5719600879418,4.36424961948249
38,86.5,36.5719600879418,4.3765905631659
39,86.5,36.5719600879418,4.38893150684931
40,86.5,36.5719600879418,4.40127245053272
41,86.5,36.5719600879418,4.41361339421613
42,86.5,36.5719600879418,4.42595433789954
43,86.5,36.5719600879418,4.43829528158295
44,86.5,36.5719600879418,4.45063622526636
45,86.5,36.5719600879418,4.46297716894977
46,86.5,36.5719600879418,4.47531811263318
47,86.5,36.5719600879418,4.48765905631659
48,86.5,36.5719600879418,4.5
