Hour,Production_MW,Discharge_m3s,Volume_Mm3
1,0.0,0.0,3.18
2,0.0,0.0,3.36
3,36.2399999999977,15.3221714865541,3.48484018264841
4,86.5,36.5719600879419,3.53318112633182
5,86.5,36.5719600879419,3.58152207001522
6,86.5,36.5719600879419,3.62986301369863
7,86.5,36.5719600879419,3.67820395738204
8,86.5,36.5719600879419,3.72654490106545
9,86.5,36.5719600879419,3.77488584474886
10,86.5,36.5719600879419,3.82322678843227
11,86.5,36.5719600879418,3.87156773211568
12,86.5,36.5719600879418,3.91990867579909
13,86.5,36.5719600879418,3.9682496194825
14,86.5,36.5719600879418,4.01659056316591
15,86.5,36.5719600879418,4.06493150684932
16,86.5,36.5719600879418,4.11327245053273
17,86.5,36.5719600879418,4.16161339421614
18,86.5,36.5719600879418,4.20995433789954
19,86.5,36.5719600879418,4.25829528158295
20,86.5,36.5719600879418,4.30663622526636
21,86.5,36.5719600879418,4.35497716894977
22,86.5,36.5719600879418,4.40331811263318
23,86.5,36.5719600879418,4.45165905631659
24,86.5,36.5719600879418,4.5
25,47.304,20.0,4.5
26,47.304,20.0,4.5
27,47.304,20.0,4.5
28,47.304,20.0,4.5
29,47.304,20.0,4.5
30,47.304,20.0,4.5
31,86.5,36.5719600879418,4.44034094368341
32,86.5,36.5719600879418,4.38068188736682
33,86.5,36.5719600879418,4.32102283105023
34,86.5,36.5719600879418,4.26136377473364
35,86.5,36.5719600879418,4.20170471841705
36,86.5,36.5719600879418,4.14204566210046
37,86.5,36.5719600879418,4.08238660578387
38,86.5,36.5719600879418,4.02272754946728
39,86.5,36.5719600879418,3.96306849315069
40,86.5,36.5719600879418,3.9034094368341
41,86.5,36.5719600879418,3.84375038051751
42,86.5,36.5719600879418,3.78409132420092
43,86.5,36.5719600879418,3.72443226788432
44,86.5,36.5719600879418,3.66477321156773
45,86.5,36.5719600879418,3.60511415525114
46,86.5,36.5719600879418,3.54545509893455
47,86.5,36.5719600879418,3.48579604261796
48,86.5,36.5719600879418,3.42613698630137
