Hour,Production_MW,Discharge_m3s,Volume_Mm3
1,0.0,0.0,3.18
2,0.0,0.0,3.3600000000000003
3,0.0,0.0,3.5400000000000005
4,0.0,0.0,3.7200000000000006
5,0.0,0.0,3.900000000000001
6,0.0,0.0,4.080000000000001
7,0.0,0.0,4.260000000000001
8,0.0,0.0,4.44
9,0.07884000000000008,33.333333333333364,4.5
10,0.11825999999999982,49.99999999999992,4.5
11,0.11825999999999982,49.99999999999992,4.5
12,0.11825999999999982,49.99999999999992,4.5
13,0.11825999999999982,49.99999999999992,4.5
14,0.11825999999999982,49.99999999999992,4.5
15,0.11825999999999982,49.99999999999992,4.5
16,0.11825999999999982,49.99999999999992,4.5
17,0.11825999999999982,49.99999999999992,4.5
18,0.11825999999999982,49.99999999999992,4.5
19,0.11825999999999982,49.99999999999992,4.5
20,0.11825999999999982,49.99999999999992,4.5
21,0.11825999999999982,49.99999999999992,4.5
22,0.11825999999999982,49.99999999999992,4.5
23,0.11825999999999982,49.99999999999992,4.5
24,0.11825999999999982,49.99999999999992,4.5
25,0.11825999999999982,49.99999999999992,4.5
26,0.11825999999999982,49.99999999999992,4.5
27,0.11825999999999982,49.99999999999992,4.5
28,0.11825999999999982,49.99999999999992,4.5
29,0.11825999999999982,49.99999999999992,4.5
30,0.11825999999999982,49.99999999999992,4.5
31,0.23652,100.0,4.319999999999999
32,0.23652,100.0,4.14
33,0.23652,100.0,3.9599999999999995
34,0.23652,100.0,3.7799999999999994
35,0.23652,100.0,3.599999999999999
36,0.23652,100.0,3.419999999999999
37,0.23652,100.0,3.239999999999999
38,0.23652,100.0,3.0599999999999987
39,0.23652,100.0,2.8799999999999986
40,0.23652,100.0,2.6999999999999984
41,0.23652,100.0,2.5199999999999982
42,0.23652,100.0,2.339999999999998
43,0.23652,100.0,2.159999999999998
44,0.23652,100.0,1.979999999999998
45,0.23652,100.0,1.799999999999998
46,0.23652,100.0,1.619999999999998
47,0.23652,100.0,1.4399999999999982
48,0.23652,100.0,1.2599999999999982
